Adjetivo,Frequência,Categoria
bonita,852,Aparência
linda,794,Aparência
louca,263,Caráter
novinha,207,Aparência
gostosa,183,Aparência
boa,159,Caráter
feia,153,Aparência
feliz,145,Emoção
dona,123,Papel social
mãe,110,Papel social
bela,106,Aparência
sozinha,96,Emoção
nova,94,Aparência
cheia,90,Aparência
flor,80,Aparência
top,75,Aparência
igual,73,Neutro
diferente,73,Caráter
casada,72,Papel social
feita,68,Neutro
luz,66,Neutro
triste,65,Emoção
maravilhosa,63,Aparência
morena,63,Aparência
solteira,62,Papel social
brasileira,60,Papel social
maluca,60,Caráter
doida,56,Caráter
gata,54,Aparência
pura,52,Caráter
rica,52,Papel social
bandida,51,Caráter
criança,47,Papel social
beleza,44,Aparência
preta,44,Aparência
mamãe,43,Papel social
branca,43,Aparência
perfeita,41,Aparência
capaz,40,Caráter
namoradeira,38,Caráter
bonitinha,37,Aparência
filha,37,Papel social
princesa,36,Papel social
quente,36,Neutro
estrela,35,Neutro
negra,35,Aparência
vida,35,Neutro
amor,34,Emoção
ingrata,34,Caráter
foda,33,Caráter
ciumenta,33,Caráter
má,33,Emoção
esperta,33,Caráter
carinhosa,32,Emoção
inocente,32,Caráter
carente,32,Emoção
presente,32,Neutro
bacana,32,Caráter
doce,31,Emoção
braba,31,Emoção
faceira,31,Emoção
cheirosa,30,Aparência
forte,30,Aparência
fiel,30,Caráter
sensual,30,Aparência
guerreira,30,Caráter
divina,28,Aparência
tentação,27,Aparência
culpada,27,Emoção
nervosa,27,Emoção
escura,26,Aparência
musa,26,Aparência
segura,26,Caráter
carioca,25,Papel social
paixão,25,Emoção
rebola,24,Aparência
baiana,23,Papel social
morta,23,Neutro
sincera,23,Caráter
madura,23,Caráter
grande,23,Aparência
independente,23,Caráter
dengosa,23,Emoção
amiga,22,Papel social
nua,22,Aparência
pobre,22,Papel social
livre,21,Neutro
falsa,21,Caráter
fatal,21,Caráter
doente,21,Neutro
ilusão,21,Emoção
errada,21,Caráter
apaixonada,21,Emoção
difícil,20,Caráter
teimosa,20,Emoção
doidinha,20,Caráter
envolvente,20,Aparência
direita,20,Caráter
viva,20,Neutro
perigosa,19,Caráter
presa,19,Papel social
sensacional,19,Caráter
alegria,19,Emoção
safada,19,Sexual
inteligente,18,Caráter
soltinha,18,Emoção
saudade,18,Emoção
formosa,18,Aparência
virgem,17,Sexual
comprometida,17,Papel social
paz,17,Emoção
clara,17,Aparência
meiga,17,Emoção
amante,17,Papel social
prosa,17,Neutro
pequena,17,Aparência
preciso,17,Neutro
ligada,16,Neutro
sexy,16,Aparência
lua,16,Neutro
fogosa,16,Sexual
coroa,16,Aparência
velha,16,Aparência
maldosa,16,Caráter
chata,16,Caráter
tristeza,16,Emoção
puta,16,Sexual
firmeza,15,Caráter
maior,15,Neutro
estranha,15,Aparência
galera,15,Neutro
ruim,15,Caráter
moderna,15,Neutro
poderosa,15,Caráter
baladeira,14,Caráter
charmosa,14,Aparência
viúva,14,Papel social
ideal,14,Neutro
distante,14,Caráter
moreninha,14,Aparência
fruta,14,Neutro
delicada,14,Caráter
companheira,14,Caráter
alheia,14,Caráter
cruel,14,Caráter
atriz,13,Papel social
comum,13,Neutro
coração,13,Emoção
sereia,13,Aparência
enganada,13,Caráter
contente,13,Emoção
safadinha,13,Sexual
melhor,13,Neutro
fácil,13,Caráter
vaidosa,13,Caráter
natureza,12,Neutro
fria,12,Emoção
nobre,12,Caráter
séria,12,Caráter
rara,12,Caráter
loira,12,Aparência
querida,12,Emoção
infeliz,12,Emoção
seca,12,Neutro
caprichosa,12,Caráter
danada,12,Caráter
deusa,12,Aparência
carpideira,12,Papel social
santa,12,Caráter
chique,11,Aparência
maravilha,11,Aparência
doidona,11,Caráter
cura,11,Neutro
indecente,11,Caráter
atrevida,11,Caráter
verdadeira,11,Caráter
arrependida,11,Emoção
única,11,Neutro
patricinha,11,Papel social
amada,11,Emoção
mocinha,11,Aparência
experiente,11,Caráter
gorda,10,Aparência
legal,10,Caráter
pequenina,10,Aparência
real,10,Caráter
sinhá,10,Papel social
sapeca,10,Sexual
cansada,10,Emoção
baixinha,10,Aparência
felicidade,10,Emoção
elegante,10,Aparência
perdida,10,Caráter
irmã,10,Papel social
desconfiada,10,Emoção
interesseira,9,Caráter
solidão,9,Emoção
impossível,9,Caráter
rendeira,9,Papel social
simples,9,Caráter
funkeira,9,Caráter
fera,9,Caráter
aflita,9,Emoção
boneca,9,Aparência
zika,9,Aparência
fantasia,9,Neutro
terrível,9,Caráter
decente,9,Caráter
corpo,9,Aparência
especial,9,Caráter
problema,9,Emoção
colorida,8,Aparência
sorte,8,Emoção
primeira,8,Neutro
importante,8,Caráter
sentimento,8,Emoção
gamada,8,Emoção
suja,8,Aparência
normal,8,Neutro
atraente,8,Aparência
saudosa,8,Emoção
selvagem,8,Caráter
zangada,8,Emoção
goiana,8,Papel social
acostumada,8,Caráter
fofinha,8,Emoção
animadinha,8,Emoção
jovem,8,Aparência
leviana,8,Caráter
profissional,8,Papel social
incrível,8,Emoção
loka,8,Caráter
alta,8,Aparência
magra,8,Aparência
mimosa,8,Emoção
simpática,8,Emoção
liberdade,8,Emoção
preciosa,8,Emoção
prima,7,Papel social
menininha,7,Papel social
vulgar,7,Caráter
vazia,7,Emoção
vovó,7,Papel social
jóia,7,Neutro
quietinha,7,Emoção
modelo,7,Papel social
traiçoeira,7,Caráter
marrenta,7,Caráter
acompanhada,7,Papel social
pirada,7,Caráter
parceira,7,Caráter
boba,7,Caráter
magoada,7,Emoção
confusa,7,Emoção
boazinha,7,Emoção
manhosa,7,Emoção
saliente,7,Emoção
santinha,7,Caráter
insana,7,Emoção
desprezada,7,Emoção
véia,7,Aparência
gordinha,7,Aparência
pronta,7,Neutro
estilo,7,Aparência
chapada,7,Aparência
bolada,7,Emoção
terrorista,7,Caráter
preparada,7,Emoção
calma,7,Emoção
fulgaz,7,Emoção
assanhada,7,Sexual
descontrolada,7,Emoção
sensação,6,Emoção
decidida,6,Caráter
completa,6,Neutro
infiel,6,Caráter
fascinante,6,Emoção
mãezinha,6,Papel social
sorriso,6,Aparência
mandona,6,Emoção
feiticeira,6,Caráter
malvada,6,Caráter
calada,6,Emoção
feminina,6,Aparência
solteirona,6,Papel social
insatisfeita,6,Emoção
atração,6,Emoção
ferida,6,Neutro
assanhadinha,6,Sexual
ausente,6,Caráter
interessante,6,Emoção
tarada,6,Sexual
cachorra,6,Caráter
sentimental,6,Emoção
deprimida,6,Emoção
rebelde,6,Caráter
complicada,6,Caráter
sagaz,6,Caráter
tranquila,6,Caráter
cigana,6,Papel social
danadinha,6,Sexual
cega,6,Neutro
frágil,5,Emoção
valente,5,Caráter
resolvida,5,Emoção
mole,5,Emoção
imensa,5,Aparência
necessária,5,Caráter
engraçada,5,Caráter
burra,5,Caráter
brilhante,5,Emoção
caliente,5,Aparência
fogo,5,Neutro
estressada,5,Emoção
cobiçada,5,Emoção
ligeira,5,Caráter
gentil,5,Caráter
grávida,5,Papel social
estéril,5,Aparência
original,5,Neutro
macia,5,Aparência
mudada,5,Neutro
durona,5,Caráter
virtuosa,5,Caráter
pior,5,Caráter
gelada,5,Emoção
brejeira,5,Papel social
suada,5,Aparência
aventureira,5,Caráter
encontrada,5,Neutro
nacional,5,Papel social
acabada,5,Emoção
pobrezinha,5,Caráter
viciada,5,Caráter
madame,5,Papel social
bamba,5,Neutro
professora,5,Papel social
prostituta,5,Sexual
absoluta,5,Caráter
mineira,5,Papel social
cabocla,5,Papel social
bailarina,5,Papel social
disposta,5,Emoção
eterna,5,Neutro
formada,5,Papel social
inacreditável,5,Emoção
orgulhosa,5,Emoção
noiva,5,Papel social
venenosa,5,Caráter
discreta,5,Caráter
taradinha,5,Sexual
bipolar,5,Caráter
preferida,5,Neutro
tenebrosa,5,Emoção
violenta,5,Caráter
destemida,5,Emoção
alegre,5,Emoção
esquisita,5,Caráter
insegura,5,Emoção
traída,5,Emoção
tia,5,Papel social
espetacular,5,Aparência
mercenária,5,Caráter
dividida,5,Caráter
tirana,5,Caráter
singela,5,Emoção
judia,5,Papel social
gatinha,5,Aparência
natural,5,Neutro
suave,5,Emoção
estilosa,5,Aparência
felina,5,Neutro
dependente,4,Caráter
famosa,4,Papel social
ofegante,4,Emoção
encantada,4,Emoção
tímida,4,Emoção
confiante,4,Emoção
mimada,4,Emoção
ternura,4,Emoção
forçada,4,Neutro
cismada,4,Emoção
milagrosa,4,Emoção
descente,4,Caráter
passageira,4,Caráter
pretinha,4,Aparência
louquinha,4,Caráter
vistosa,4,Aparência
covardia,4,Emoção
medonha,4,Aparência
sertaneja,4,Papel social
soberana,4,Caráter
raridade,4,Caráter
cabulosa,4,Caráter
sentida,4,Emoção
potente,4,Emoção
sequestrada,4,Neutro
popular,4,Papel social
bagunceira,4,Caráter
aposentada,4,Papel social
doideira,4,Emoção
atenta,4,Caráter
malandra,4,Caráter
matogrossense,4,Papel social
diferenciada,4,Caráter
gulosa,4,Emoção
forrozeira,4,Neutro
abusada,4,Emoção
fraca,4,Aparência
vadia,4,Sexual
tranqueira,4,Caráter
quieta,4,Caráter
ardente,4,Neutro
gerada,4,Neutro
indefesa,4,Emoção
litorânea,4,Neutro
expansiva,4,Caráter
contemporânea,4,Neutro
espontânea,4,Emoção
loucona,4,Caráter
distraída,4,Emoção
milionária,4,Papel social
fina,4,Aparência
americana,4,Papel social
perdição,4,Emoção
escandalosa,4,Emoção
encantadora,4,Caráter
fã,4,Emoção
surda,4,Neutro
furacão,4,Caráter
covarde,4,Emoção
moleca,4,Caráter
firme,4,Neutro
fingida,4,Caráter
loucura,4,Emoção
molhada,4,Aparência
piriguete,4,Sexual
mentira,4,Caráter
pelada,4,Aparência
magrinha,4,Aparência
dona-de-casa,4,Papel social
aborrecida,3,Emoção
leoa,3,Neutro
satisfação,3,Emoção
delícia,3,Aparência
indigesta,3,Emoção
rampeira,3,Caráter
pecadora,3,Caráter
acordada,3,Neutro
miudinha,3,Aparência
astral,3,Emoção
bonequeira,3,Neutro
grudada,3,Emoção
costureira,3,Papel social
gestante,3,Papel social
padrão,3,Aparência
fenomenal,3,Aparência
torta,3,Aparência
sacana,3,Caráter
babá,3,Papel social
descalça,3,Aparência
sapequinha,3,Sexual
nutella,3,Neutro
roqueira,3,Neutro
contemplada,3,Neutro
chapa-quente,3,Emoção
imunda,3,Aparência
surreal,3,Caráter
crescida,3,Aparência
proibida,3,Neutro
provocante,3,Emoção
pureza,3,Emoção
desumana,3,Caráter
orgulho,3,Emoção
galinha,3,Caráter
desenhada,3,Neutro
radical,3,Caráter
protegida,3,Emoção
limpa,3,Aparência
excitante,3,Emoção
despejada,3,Neutro
ensinada,3,Neutro
vilã,3,Caráter
zen,3,Caráter
genial,3,Emoção
sexo,3,Sexual
fanática,3,Emoção
influenciada,3,Caráter
levada,3,Caráter
filhinha,3,Papel social
dahora,3,Caráter
sedutora,3,Caráter
boiadeira,3,Papel social
pensativa,3,Emoção
tonta,3,Emoção
apertada,3,Sexual
tola,3,Caráter
sutil,3,Emoção
magrela,3,Aparência
baixa,3,Aparência
recalcada,3,Caráter
