 Adjetivo,Frequência,Categoria
feliz,335,Emoção
bom,299,Caráter
pobre,189,Papel social
forte,158,Aparência
capaz,141,Caráter
triste,124,Emoção
louco,114,Caráter
amor,114,Emoção
diferente,114,Caráter
casado,95,Papel social
bonito,87,Aparência
velho,83,Aparência
feito,83,Neutro
branco,79,Aparência
fiel,78,Caráter
grande,75,Aparência
rico,75,Papel social
novo,74,Aparência
pai,66,Papel social
sozinho,64,Emoção
fraco,63,Aparência
valente,63,Caráter
livre,61,Caráter
ruim,59,Caráter
ligado,59,Neutro
coração,57,Emoção
igual,52,Neutro
guerreiro,49,Caráter
certo,49,Caráter
cheio,48,Neutro
presente,46,Caráter
mano,46,Papel social
fácil,46,Caráter
amigo,45,Papel social
filho,45,Papel social
justo,45,Caráter
mau,45,Caráter
dono,44,Papel social
vivo,44,Neutro
perfeito,44,Caráter
fogo,44,Neutro
comum,43,Neutro
maior,43,Neutro
infeliz,41,Emoção
lindo,41,Aparência
legal,40,Caráter
gostoso,40,Aparência
melhor,39,Neutro
distante,39,Emoção
mané,39,Caráter
zé,39,Neutro
sério,38,Caráter
direito,37,Caráter
carente,37,Emoção
doente,37,Neutro
preto,36,Aparência
real,36,Caráter
poderoso,36,Caráter
doido,35,Caráter
importante,35,Caráter
inocente,35,Caráter
cruel,34,Caráter
esperto,34,Caráter
irmão,33,Papel social
negro,33,Aparência
maluco,33,Caráter
cansado,32,Emoção
contente,31,Emoção
feio,31,Aparência
perdido,30,Emoção
solteiro,29,Papel social
pequeno,29,Aparência
cego,29,Neutro
sonhador,29,Emoção
apaixonado,29,Emoção
sincero,28,Caráter
digno,28,Caráter
difícil,27,Caráter
covarde,27,Caráter
doutor,27,Papel social
brasileiro,27,Papel social
doce,26,Emoção
pronto,26,Emoção
vencedor,26,Caráter
macho,26,Emoção
bicho,26,Neutro
congo,25,Emoção
simples,25,Caráter
bomba,25,Neutro
cabra,25,Neutro
passarinho,25,Neutro
vida,24,Neutro
eterno,24,Neutro
preso,24,Papel social
moleque,24,Caráter
chamado,23,Neutro
poeta,23,Papel social
presidente,23,Papel social
sol,23,Neutro
trabalhador,23,Papel social
santo,23,Papel social
morto,23,Neutro
bobo,23,Caráter
dom,23,Emoção
desejo,23,Emoção
sangue,23,Neutro
normal,22,Neutro
dinheiro,22,Neutro
caro,22,Caráter
corpinho,22,Aparência
perdão,21,Emoção
foda,21,Aparência
querido,21,Emoção
humilde,20,Caráter
maduro,20,Caráter
leão,20,Neutro
chato,20,Emoção
inteligente,19,Caráter
maravilhoso,19,Caráter
problema,19,Caráter
zumbi,19,Neutro
companheiro,18,Papel social
jovem,18,Papel social
gente,18,Papel social
honesto,18,Caráter
criança,18,Papel social
papai,18,Papel social
bravo,17,Emoção
verdadeiro,17,Caráter
barbado,16,Aparência
honrado,16,Caráter
juiz,16,Papel social
nato,16,Caráter
ateu,16,Papel social
ciumento,16,Emoção
maloqueiro,16,Caráter
malandro,16,Caráter
campeão,16,Caráter
puro,16,Caráter
caboclo,16,Papel social
sofredor,16,Emoção
mudo,15,Neutro
convidado,15,Papel social
preciso,15,Caráter
alto,15,Aparência
lobo,15,Neutro
pior,15,Caráter
nú,14,Aparência
samba,14,Neutro
ausente,14,Emoção
errado,14,Caráter
faceiro,14,Emoção
paixão,14,Emoção
ladrão,14,Caráter
estranho,14,Caráter
saravá,14,Neutro
igualzinho,13,Neutro
moreno,13,Aparência
passado,13,Neutro
soberano,13,Caráter
aranha,13,Neutro
véio,13,Aparência
zika,13,Aparência
poder,13,Emoção
sonho,13,Neutro
vaqueiro,13,Papel social
herói,13,Papel social
vagabundo,13,Papel social
enganado,13,Emoção
especial,13,Emoção
duro,13,Neutro
frio,13,Neutro
sublime,13,Caráter
mestre,12,Papel social
nobre,12,Caráter
parado,12,Neutro
amante,12,Papel social
baixinho,12,Aparência
magos,12,Papel social
alegre,12,Emoção
corno,12,Emoção
luz,12,Neutro
povo,12,Neutro
bandido,12,Papel social
gol,12,Neutro
incrível,12,Caráter
consciente,12,Caráter
fino,12,Aparência
mundo,12,Neutro
boi,11,Neutro
manso,11,Caráter
bonitinho,11,Aparência
maluquinho,11,Caráter
sexy,11,Aparência
quente,11,Neutro
nervoso,11,Emoção
cantador,11,Papel social
inteiro,11,Neutro
gigante,11,Aparência
complicado,11,Caráter
culpado,11,Emoção
chapa,11,Neutro
cachorro,11,Neutro
amado,11,Emoção
tropical,11,Neutro
cuidado,11,Caráter
sábio,11,Caráter
paquerador,10,Caráter
sentimental,10,Emoção
prazer,10,Emoção
ligeiro,10,Emoção
caipira,10,Papel social
moderno,10,Neutro
bonzinho,10,Caráter
sórdidos,10,Caráter
patrão,10,Papel social
sujo,10,Aparência
negão,10,Aparência
solitário,10,Emoção
alegria,10,Emoção
calado,10,Emoção
solidão,10,Emoção
chique,9,Aparência
toque,9,Neutro
neguinho,9,Aparência
zangado,9,Emoção
soldado,9,Papel social
sanfoneiro,9,Papel social
fuleiro,9,Caráter
professor,9,Papel social
genial,9,Emoção
polvinho,9,Neutro
ioiô,9,Neutro
vulgar,9,Caráter
frouxo,9,Caráter
decente,9,Caráter
falso,9,Caráter
puto,9,Papel social
bolado,9,Emoção
medo,9,Emoção
rap,9,Neutro
neném,9,Papel social
campeiro,9,Papel social
preparado,8,Caráter
rude,8,Caráter
voador,8,Neutro
força,8,Caráter
único,8,Caráter
inimigo,8,Papel social
vazio,8,Neutro
porra,8,Neutro
ungido,8,Caráter
violento,8,Caráter
quieto,8,Emoção
mulato,8,Aparência
ciente,8,Caráter
show,8,Caráter
escolhido,8,Emoção
padre,8,Papel social
carinhoso,8,Caráter
baleado,8,Neutro
burro,8,Caráter
disposto,8,Caráter
impossível,8,Emoção
matador,8,Caráter
velhinho,8,Aparência
operário,8,Papel social
beijador,7,Caráter
capitão,7,Papel social
derrotado,7,Emoção
boladão,7,Emoção
paz,7,Emoção
valentão,7,Caráter
engraçado,7,Caráter
caçador,7,Papel social
satisfeito,7,Emoção
fofinho,7,Emoção
animado,7,Emoção
destemido,7,Caráter
firme,7,Caráter
preocupado,7,Emoção
traiçoeiro,7,Caráter
doidão,7,Emoção
parceiro,7,Emoção
infiel,7,Caráter
sensual,7,Aparência
gaúcho,7,Papel social
índio,7,Papel social
fazendeiro,7,Papel social
tonto,7,Emoção
natural,7,Neutro
maroto,7,Caráter
canalha,7,Caráter
confuso,7,Caráter
top,7,Aparência
traidor,7,Caráter
virgem,7,Sexual
modelo,6,Papel social
grã-fino,6,Aparência
pequenino,6,Aparência
desamor,6,Emoção
louro,6,Aparência
ferido,6,Emoção
delegado,6,Papel social
sorridente,6,Emoção
fã,6,Emoção
dengo,6,Emoção
solto,6,Neutro
desempregado,6,Papel social
preguiçoso,6,Caráter
fera,6,Neutro
pacato,6,Caráter
funkeiro,6,Papel social
goiano,6,Papel social
estudioso,6,Caráter
generoso,6,Caráter
delicado,6,Caráter
fenomenal,6,Caráter
ideal,6,Caráter
perigoso,6,Caráter
aflito,6,Emoção
safado,6,Caráter
insensato,6,Caráter
gordo,6,Aparência
amargo,5,Emoção
gay,5,Sexual
ingrato,5,Caráter
envolvente,5,Caráter
artista,5,Papel social
majestoso,5,Emoção
barbudo,5,Aparência
famoso,5,Emoção
cidadão,5,Papel social
lutador,5,Caráter
pagodeiro,5,Papel social
mensageiro,5,Papel social
tras,5,Sexual
teimoso,5,Caráter
cantor,5,Papel social
exigente,5,Caráter
gentil,5,Caráter
original,5,Caráter
vovô,5,Papel social
vacilão,5,Caráter
protetor,5,Caráter
escravo,5,Papel social
sensacional,5,Emoção
guardado,5,Neutro
corpo,5,Aparência
primo,5,Papel social
destino,5,Caráter
danado,5,Emoção
coitado,5,Emoção
subdesenvolvido,5,Neutro
corajoso,5,Emoção
guloso,5,Caráter
suburbano,5,Papel social
brabo,5,Emoção
fatal,5,Caráter
nordestino,5,Papel social
desprezado,5,Emoção
armado,5,Aparência
palhaço,5,Papel social
matuto,5,Caráter
dominado,5,Emoção
desiludido,5,Emoção
precioso,5,Caráter
prisioneiro,5,Papel social
pescador,5,Papel social
responsável,5,Caráter
atento,5,Caráter
obediente,5,Caráter
belo,5,Aparência
maldito,5,Caráter
otário,5,Caráter
suave,5,Emoção
rebelde,5,Caráter
alérgico,5,Neutro
tolo,5,Emoção
glorioso,5,Emoção
malvado,5,Caráter
latino-americano,5,Papel social
vigário,5,Papel social
doidinho,5,Emoção
prefeito,5,Papel social
latino,4,Papel social
roceiro,4,Papel social
lento,4,Caráter
selvagem,4,Emoção
bondoso,4,Caráter
mendigo,4,Papel social
correto,4,Caráter
maldoso,4,Caráter
réu,4,Papel social
pilantra,4,Caráter
egoísta,4,Caráter
negrinho,4,Aparência
irresistível,4,Emoção
inseguro,4,Emoção
incapaz,4,Caráter
atraente,4,Aparência
gatinho,4,Aparência
escrito,4,Emoção
indefeso,4,Caráter
sossegado,4,Caráter
atrasado,4,Emoção
invisível,4,Neutro
tio,4,Papel social
roubado,4,Emoção
freguês,4,Papel social
drogado,4,Neutro
imundo,4,Aparência
ricos,4,Papel social
cangaceiro,4,Papel social
pesadão,4,Aparência
terrível,4,Caráter
maneiro,4,Emoção
conde,4,Papel social
pretinho,4,Aparência
lembrado,4,Emoção
vadio,4,Caráter
baiano,4,Papel social
descrente,4,Emoção
sinistro,4,Caráter
gato,4,Aparência
compadre,4,Papel social
barrigudo,4,Aparência
profeta,4,Papel social
extraordinário,4,Emoção
baixo,4,Aparência
japonês,4,Papel social
machão,4,Emoção
ocupado,4,Caráter
namorador,4,Caráter
falado,4,Neutro
magro,4,Aparência
indecente,4,Caráter
cowboy,4,Papel social
imperador,4,Papel social
