Adjetivo,Frequência,Categoria
feliz,335,
bom,299,
pobre,189,
forte,158,
capaz,141,
triste,124,
louco,114,
amor,114,
diferente,114,
casado,95,
bonito,87,
povinho,86,
velho,83,
feito,83,
branco,79,
fiel,78,
grande,75,
rico,75,
novo,74,
pai,66,
sozinho,64,
fraco,63,
valente,63,
livre,61,
ruim,59,
ligado,59,
coração,57,
igual,52,
guerreiro,49,
certo,49,
cheio,48,
presente,46,
mano,46,
fácil,46,
amigo,45,
filho,45,
justo,45,
mau,45,
dono,44,
vivo,44,
perfeito,44,
fogo,44,
comum,43,
maior,43,
infeliz,41,
lindo,41,
legal,40,
gostoso,40,
melhor,39,
distante,39,
mané,39,
zé,39,
sério,38,
direito,37,
carente,37,
doente,37,
preto,36,
real,36,
poderoso,36,
doido,35,
importante,35,
inocente,35,
cruel,34,
linda,34,
esperto,34,
irmão,33,
negro,33,
maluco,33,
beijo,32,
cansado,32,
contente,31,
feio,31,
perdido,30,
solteiro,29,
pequeno,29,
cego,29,
sonhador,29,
apaixonado,29,
sincero,28,
digno,28,
difícil,27,
covarde,27,
doutor,27,
brasileiro,27,
doce,26,
pronto,26,
vencedor,26,
macho,26,
bicho,26,
congo,25,
simples,25,
bomba,25,
cabra,25,
passarinho,25,
tipo,25,
vida,24,
eterno,24,
preso,24,
moleque,24,
chamado,23,
maus,23,
poeta,23,
coisa,23,
boa,23,
presidente,23,
sol,23,
trabalhador,23,
santo,23,
morto,23,
bobo,23,
dom,23,
desejo,23,
sangue,23,
normal,22,
dinheiro,22,
caro,22,
corpinho,22,
perdão,21,
foda,21,
querido,21,
humilde,20,
maduro,20,
leão,20,
chato,20,
inteligente,19,
maravilhoso,19,
problema,19,
criador,19,
zumbi,19,
companheiro,18,
jovem,18,
gente,18,
honesto,18,
criança,18,
papai,18,
bravo,17,
verdadeiro,17,
barbado,16,
honrado,16,
juiz,16,
nato,16,
ateu,16,
ciumento,16,
maloqueiro,16,
malandro,16,
campeão,16,
puro,16,
caboclo,16,
sofredor,16,
mudo,15,
convidado,15,
preciso,15,
alto,15,
lobo,15,
pior,15,
paraíso,14,
nu,14,
samba,14,
iguais,14,
ausente,14,
errado,14,
faceiro,14,
paixão,14,
ladrão,14,
estranho,14,
mamãe,14,
saravá,14,
mãe,14,
igualzinho,13,
nois,13,
moreno,13,
tempo,13,
passado,13,
soberano,13,
aranha,13,
véio,13,
zika,13,
poder,13,
dia,13,
sonho,13,
vaqueiro,13,
herói,13,
vagabundo,13,
enganado,13,
especial,13,
duro,13,
frio,13,
segura,13,
sublime,13,
mestre,12,
nobre,12,
pros,12,
parado,12,
amante,12,
baixinho,12,
magos,12,
alegre,12,
corno,12,
luz,12,
povo,12,
bandido,12,
gol,12,
incrível,12,
consciente,12,
fino,12,
mundo,12,
azul,12,
meio,11,
pobres,11,
boi,11,
manso,11,
bonitinho,11,
beleza,11,
maluquinho,11,
sexy,11,
judas,11,
quente,11,
nervoso,11,
cantador,11,
inteiro,11,
hora,11,
gigante,11,
complicado,11,
culpado,11,
chapa,11,
cachorro,11,
amado,11,
verdade,11,
tropical,11,
pia,11,
baba,11,
cuidado,11,
sábio,11,
onipotente,10,
paquerador,10,
felizes,10,
sentimental,10,
prazer,10,
ligeiro,10,
rainha,10,
senhora,10,
caipira,10,
muleque,10,
moderno,10,
rosinha,10,
bonzinho,10,
sórdidos,10,
patrão,10,
sujo,10,
negão,10,
solitário,10,
alegria,10,
calado,10,
solidão,10,
chique,9,
toque,9,
neguinho,9,
divino,9,
zangado,9,
bons,9,
soldado,9,
verde,9,
sanfoneiro,9,
fuleiro,9,
viola,9,
professor,9,
encontro,9,
genial,9,
bendito,9,
polvinho,9,
ioiô,9,
vulgar,9,
inverno,9,
frouxo,9,
decente,9,
meninas,9,
falso,9,
puto,9,
bolado,9,
medo,9,
rap,9,
bonitos,9,
neném,9,
abraço,9,
campeiro,9,
loucos,9,
preparado,8,
gita,8,
rude,8,
voador,8,
força,8,
único,8,
coisas,8,
inimigo,8,
vazio,8,
filha,8,
porra,8,
ungido,8,
canto,8,
violento,8,
casa,8,
quieto,8,
bora,8,
mulato,8,
ciente,8,
show,8,
escolhido,8,
mina,8,
marco,8,
novinha,8,
padre,8,
passos,8,
óh,8,
carinhoso,8,
rebola,8,
baleado,8,
burro,8,
lugar,8,
disposto,8,
impossível,8,
matador,8,
vento,8,
velhinho,8,
berê,8,
ouro,8,
café,8,
nome,8,
operário,8,
beijador,7,
capitão,7,
derrotado,7,
cachoeira,7,
boladão,7,
paz,7,
pop,7,
banho,7,
bonita,7,
valentão,7,
humano,7,
flor,7,
saudade,7,
engraçado,7,
caçador,7,
satisfeito,7,
fofinho,7,
animado,7,
falhaste,7,
destemido,7,
firme,7,
preocupado,7,
traiçoeiro,7,
nóis,7,
doidão,7,
