Adjetivo,Frequência,Categoria
bonita,852,
linda,794,
louca,263,
novinha,207,
gostosa,183,
boa,159,
feia,153,
feliz,145,
dona,123,
mãe,110,
bela,106,
sozinha,96,
nova,94,
cheia,90,
flor,80,
top,75,
igual,73,
diferente,73,
casada,72,
laiá,69,
feita,68,
luz,66,
triste,65,
maravilhosa,63,
morena,63,
solteira,62,
brasileira,60,
maluca,60,
doida,56,
gata,54,
pura,52,
rica,52,
bonitas,52,
bandida,51,
criança,47,
tipo,47,
beleza,44,
samba,44,
preta,44,
mamãe,43,
branca,43,
gerais,42,
perfeita,41,
capaz,40,
bom,40,
namoradeira,38,
coisa,38,
bonitinha,37,
mesma,37,
filha,37,
princesa,36,
lindas,36,
quente,36,
estrela,35,
negra,35,
vida,35,
comigo,34,
amor,34,
ingrata,34,
foda,33,
ciumenta,33,
má,33,
esperta,33,
carinhosa,32,
inocente,32,
carente,32,
loucas,32,
presente,32,
bacana,32,
doce,31,
quica,31,
braba,31,
faceira,31,
novinhas,30,
cheirosa,30,
forte,30,
fiel,30,
sensual,30,
guerreira,30,
parte,28,
divina,28,
tentação,27,
culpada,27,
nervosa,27,
escura,26,
musa,26,
segura,26,
carioca,25,
paixão,25,
rebola,24,
baiana,23,
morta,23,
sincera,23,
acorde,23,
madura,23,
grande,23,
independente,23,
dengosa,23,
dinheiro,23,
mera,22,
amiga,22,
chapa,22,
nua,22,
pobre,22,
livre,21,
falsa,21,
fatal,21,
doente,21,
pisca,21,
briga,21,
ilusão,21,
errada,21,
apaixonada,21,
veneno,20,
difícil,20,
teimosa,20,
doidinha,20,
envolvente,20,
tum,20,
direita,20,
viva,20,
gente,20,
perigosa,19,
presa,19,
sensacional,19,
alegria,19,
safada,19,
maneira,18,
iguais,18,
inteligente,18,
soltinha,18,
nota,18,
sangue,18,
saudade,18,
formosa,18,
virgem,17,
comprometida,17,
paz,17,
clara,17,
meiga,17,
nuas,17,
amante,17,
prosa,17,
pequena,17,
preciso,17,
metade,16,
ligada,16,
sexy,16,
parada,16,
lua,16,
fogosa,16,
coroa,16,
velha,16,
hora,16,
maldosa,16,
