Profissão,Contagem,,
atriz,32,,total:
professora,10,,131
modelo,10,,
chefe,6,,
babá,5,,
prostituta,4,,
lavadeira,4,,
enfermeira,4,,
costureira,3,,
artista,3,,
empregada,3,,
cantora,3,,
motorista,3,,
caçadora,2,,
presidente,2,,
delegada,2,,
garçonete,2,,
bailarina,2,,
dançarina,2,,
diarista,2,,
cozinheira,2,,
economista,1,,
nutricionista,1,,
arquiteta,1,,
jornalista,1,,
carpinteira,1,,
farmacêutica,1,,
intérprete,1,,
estudante,1,,
cabo,1,,
atleta,1,,
defensora,1,,
médica,1,,
deputada,1,,
dançarinas,1,,
técnica,1,,
piloto,1,,
camareira,1,,
veterinária,1,,
estudantes,1,,
estilistas,1,,
governanta,1,,
mecânica,1,,
soldado,1,,
sargento,1,,
advogada,1,,
